Batch ,Measurement date,d.a.i,Tree Code,GS before injectoin,Cultivar ,Status,Leaf #,1 h,24 h
5,12/28/2021,3,JR07,0.129,SB,Healthy,5,760969,322732.4
5,12/28/2021,3,JR09,0.064,SB,Healthy,7,958920.1,605304.5
5,12/28/2021,3,JR20,0.165,PA,HLB+,7,1988146,479638.2
5,12/28/2021,3,JR29,0.288,SB,HLB+,6,976882.9,359803.8
5,12/28/2021,3,JR30,0.347,SB,HLB+,7,202011.1,88500.97
5,12/29/2021,4,JR05,0.153,PA,Healthy,5,1001809,438124.2
5,12/29/2021,4,JR07,0.129,SB,Healthy,5,769037.6,322756.1
5,12/29/2021,4,JR09,0.064,SB,Healthy,7,967924,610019.4
5,12/29/2021,4,JR20,0.165,PA,HLB+,7,1986229,470641.5
5,12/29/2021,4,JR29,0.288,SB,HLB+,6,982278.4,362663.2
5,12/29/2021,4,JR30,0.347,SB,HLB+,7,201309.8,91268.02
5,12/30/2021,5,JR05,0.153,PA,Healthy,5,999529.2,436611.8
5,12/30/2021,5,JR07,0.129,SB,Healthy,5,773937.3,324922.9
5,12/30/2021,5,JR09,0.064,SB,Healthy,7,967926.9,613204.9
5,12/30/2021,5,JR20,0.165,PA,HLB+,7,1959946,472042.5
5,12/30/2021,5,JR29,0.288,SB,HLB+,6,985798.4,361455.1
5,12/30/2021,5,JR30,0.347,SB,HLB+,7,198389.7,91051.09
6,5/3/2022,3,JR01,0.043,Pineapple,Healthy,3,141583,108094
6,5/3/2022,3,JR09,0.155,Sugar Belle ®,Healthy,3,61857.44,58852.34
6,5/3/2022,3,JR13,0.116,Sugar Belle ®,HLB+,3,72610.98,73300.12
6,5/3/2022,3,JR20,0.106,Pineapple,HLB+,3,46035.77,41069.91
6,5/3/2022,3,JR21,0.025,Pineapple,HLB+,3,46306.17,41999.94
6,5/3/2022,3,JR29,0.03,Sugar Belle ®,HLB+,3,766.65,1497.84
6,5/4/2022,4,JR01,0.043,Pineapple,Healthy,3,145207.4,110999.9
6,5/4/2022,4,JR09,0.155,Sugar Belle ®,Healthy,3,63345.44,59387.16
6,5/4/2022,4,JR13,0.116,Sugar Belle ®,HLB+,3,77583.7,74701.91
6,5/4/2022,4,JR20,0.106,Pineapple,HLB+,3,47986.77,42455.39
6,5/4/2022,4,JR21,0.025,Pineapple,HLB+,3,47838.57,41731.79
6,5/4/2022,4,JR29,0.03,Sugar Belle ®,HLB+,3,770,1551.37
6,5/5/2022,5,JR01,0.043,Pineapple,Healthy,3,146354,108094
6,5/5/2022,5,JR09,0.155,Sugar Belle ®,Healthy,3,63954.52,58852
6,5/5/2022,5,JR13,0.116,Sugar Belle ®,HLB+,3,80205.8,73300
6,5/5/2022,5,JR20,0.106,Pineapple,HLB+,3,48990.89,41069.91
6,5/5/2022,5,JR21,0.025,Pineapple,HLB+,3,47254.55,41999.94
6,5/5/2022,5,JR29,0.03,Sugar Belle ®,HLB+,3,784.06,1497.84
6,5/6/2022,6,JR01,0.043,Pineapple,Healthy,3,145207.4,112347.4
6,5/6/2022,6,JR09,0.155,Sugar Belle ®,Healthy,3,63345.44,59921.81
6,5/6/2022,6,JR13,0.116,Sugar Belle ®,HLB+,3,77583.7,75999.98
6,5/6/2022,6,JR20,0.106,Pineapple,HLB+,3,47986.77,42025.53
6,5/6/2022,6,JR21,0.025,Pineapple,HLB+,3,47838.57,43533.79
6,5/6/2022,6,JR29,0.03,Sugar Belle ®,HLB+,3,770,1501.9
6,5/7/2022,7,JR01,0.043,Pineapple,Healthy,3,149542.5,114055.8
6,5/7/2022,7,JR09,0.155,Sugar Belle ®,Healthy,3,65036.7,61243.17
6,5/7/2022,7,JR13,0.116,Sugar Belle ®,HLB+,3,81967.75,74217.25
