Tree Code,Branch date,total length,width base,with middle,Width tip,Length base - middle,N Leaves,length middle - tip,Observations
JR40,44743,43.2,10.5,4,2.2,19.3,12,23.9,NA
JR40,44743,22.7,3.2,2.3,1.7,9.8,9,12.9,NA
JR40,44743,15.7,3,2.1,2,10.2,5,5.5,NA
JR40,44743,15,3.1,1.9,1.2,7.7,6,7.3,NA
JR41,44476,NA,NA,NA,NA,NA,NA,NA,NA
JR41,44476,NA,NA,NA,NA,NA,NA,NA,NA
JR41,44620,NA,NA,NA,NA,NA,NA,NA,NA
JR41,44654,NA,NA,NA,NA,NA,NA,NA,NA
JR41,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR41,44729,12.9,4.2,3,2.9,7.6,3,5.3,NA
JR41,44757,13.5,2.9,2.1,1.7,5.5,6,8,NA
JR41,44757,17.1,3.8,2.2,1.7,11.5,7,5.6,NA
JR41,44757,11.8,3.2,1.2,1,6.6,6,5.2,NA
JR41,44729,9.9,1.8,1.5,1.8,5.4,4,4.5,NA
JR41,44729,7,1.8,1,1,3.2,3,3.8,NA
JR41,44757,5.7,1.9,1.3,1,3,3,2.7,NA
JR41,44757,10.6,1.9,1.7,1.2,4.2,4,6.4,NA
JR41,44729,7.4,2.5,2,1.8,3.6,3,3.8,NA
JR42,44520,NA,NA,NA,NA,NA,NA,NA,NA
JR42,44470,NA,NA,NA,NA,NA,NA,NA,NA
JR42,44520,NA,NA,NA,NA,NA,NA,NA,NA
JR42,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR42,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR42,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR42,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR42,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR42,44729,18.5,4.9,4.9,3.8,11.4,4,7.1,NA
JR42,44729,19.9,4,2.9,2,8.2,6,11.7,NA
JR42,44761,5.8,2,1.1,2.1,3,3,2.8,NA
JR42,44761,8.5,2.6,2.6,1,4.2,6,4.3,NA
JR42,44761,5.7,1.7,1.2,0.9,2.6,4,3.1,NA
JR42,44761,16.9,2.7,2,1.3,7,7,9.9,NA
JR42,44761,6.9,2,1.8,1.2,3.2,3,3.7,NA
JR42,44761,6.2,3,2.2,1.3,3.6,3,2.6,NA
JR42,44761,21.4,3,2.1,1.3,10.3,10,11.1,NA
JR42,44761,16.4,2.7,1.8,1.9,7.5,7,8.9,NA
JR42,44761,10.4,3.3,1.9,1.7,5.6,4,4.8,NA
JR43,44470,NA,NA,NA,NA,NA,NA,NA,Poor development
JR43,44631,NA,NA,NA,NA,NA,NA,NA,Poor development
JR43,44631,NA,NA,NA,NA,NA,NA,NA,Poor development
JR43,44729,14,3,2.1,1,7.7,10,6.3,Poor development
JR44,44520,NA,NA,NA,NA,NA,NA,NA,NA
JR44,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR45,44501,NA,NA,NA,NA,NA,NA,NA,NA
JR45,44470,NA,NA,NA,NA,NA,NA,NA,NA
JR45,44645,NA,NA,NA,NA,NA,NA,NA,NA
JR45,44707,15.4,2.9,2.2,1.8,7.5,5,7.9,NA
JR45,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR45,44520,NA,NA,NA,NA,NA,NA,NA,NA
JR45,44761,43.4,4.1,4,2.1,18,15,25.4,NA
JR46,44568,NA,NA,NA,NA,NA,NA,NA,NA
JR46,44568,NA,NA,NA,NA,NA,NA,NA,NA
JR46,44681,NA,NA,NA,NA,NA,NA,NA,NA
JR46,44681,NA,NA,NA,NA,NA,NA,NA,NA
JR46,44757,10.7,2.1,1.9,1.1,6.3,7,4.4,NA
JR46,44757,15.7,2.8,2,1.3,7.5,8,8.2,NA
JR47,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR47,44501,NA,NA,NA,NA,NA,NA,NA,NA
JR47,44729,7,1.9,1.2,1.2,3.5,5,3.5,NA
JR47,44729,11.3,3.1,3,1.9,5.5,7,5.8,NA
JR48,44631,NA,NA,NA,NA,NA,NA,NA,NA
JR48,44568,NA,NA,NA,NA,NA,NA,NA,NA
JR48,44729,17.2,4,2.9,2,10.5,12,6.7,NA
JR49,44470,NA,NA,NA,NA,NA,NA,NA,NA
JR49,44470,NA,NA,NA,NA,NA,NA,NA,NA
JR49,44681,NA,NA,NA,NA,NA,NA,NA,NA
JR49,44603,NA,NA,NA,NA,NA,NA,NA,NA
JR49,44681,NA,NA,NA,NA,NA,NA,NA,NA
JR49,44681,NA,NA,NA,NA,NA,NA,NA,NA
JR49,44501,NA,NA,NA,NA,NA,NA,NA,NA
JR49,44582,NA,NA,NA,NA,NA,NA,NA,NA
JR49,44582,NA,NA,NA,NA,NA,NA,NA,NA
